ID_empleado;Apellido;Nombre;Sucursal;Sector;Cargo;Salario
1696;Higuita;Cathy;Flores;Derecho;Vendedor;32000,00
1299;Osorio;Catalina;Flores;Derecho;Vendedor;32000,00
1529;Gomez;Mariana;Flores;Publicidad;Vendedor;32000,00
1080;Bustos;Jacobo;Flores;Publicidad;Vendedor ;37000,00
1353;Rodas;Gabriel;Flores;Publicidad;Vendedor ;36000,00
1369;Cano;Sandra;Flores;Publicidad;Administrativo;42000,00
1370;Diaz ;Evelyn;Alberdi;Publicidad;Vendedor ;36000,00
1677;Hernandez ;Juan;Alberdi;Publicidad;Vendedor ;37000,00
1427;Jaramillo;David;Alberdi;Publicidad;Vendedor ;34000,00
2806;Duque;Jeronimo;Alberdi;Administració;Administrativo;32000,00
2731;Muño;Estefania;Alberdi;Administració;Vendedor;32000,00
2024;Peláe;Guillermo;Alberdi;Administració;Vendedor;45000,00
2630;Sanchez;Eliana;Alberdi;Administració;Vendedor;32000,00
2486;Cano;Jose;Deposito;Administració;Vendedor;32000,00
2988;Marquez;Marcela;Deposito;Administració;Aux. Administrativo;15000,00
2768;Rico;Daniela;Deposito;Administració;Vendedor;32000,00
2212;Mendez;Rafael;Deposito;Diseñ;Administrativo;42000,00
2075;Jimenez;Camilo;Deposito;Diseñ;Vendedor;32000,00
2779;Osorio;Francisco;Velez;Diseñ;Vendedor;32000,00
2468;Zerra;Antonio;Velez;Diseñ;Vendedor;32000,00
2762;Gomez;Karen;Velez;Diseñ;Aux. Administrativo;15000,00
2351;Grací;David;Velez;Diseñ;Vendedor;32000,00
2557;Castro;Javier;Velez;Comunicació;Administrativo;56000,00
2508;Peppe;Santiago;Velez;Comunicació;Vendedor;42000,00
2411;Hoyos;Luis;Velez;Comunicació;Vendedor;56000,00
2120;Suarez;Jos�;Velez;Comunicació;Vendedor;65000,00
2157;Arias;Tomas;Velez;Comunicació;Vendedor;32000,00
2580;Dominguez ;Felipe;Vicente Lopez;Ventas;Aux. Administrativo;13500,00
2097;Ruiz;Patricia;Vicente Lopez;Ventas;Aux. Administrativo;12000,00
2243;Pailos;Luisa;Vicente Lopez;Ventas;Aux. Administrativo;16000,00
2467;Osorio;Sara;Vicente Lopez;Ventas;Administrativo;41000,00
2063;Gomez;Alejandra;Vicente Lopez;Ventas;Vendedor;32000,00
2059;Bustos;Lisa;Vicente Lopez;Ventas;Vendedor;32000,00
2784;Rodas;Ana Maria;Vicente Lopez;Ventas;Vendedor;32000,00
2532;Cano;Sofia;Vicente Lopez;Ventas;Vendedor;32000,00
2337;Diaz ;Paula;Vicente Lopez;Ventas;Técnic;28000,00
2191;Hernandez ;Jesus;Vicente Lopez;Administració;Administrativo;25600,00
2869;Jaramillo;Herná;San Isidro;Administració;Administrativo;24000,00
2896;Vasquez;Carmen;San Isidro;Administració;Aux. Administrativo;13500,00
2427;Castrilló;Daniel;San Isidro;Administració;Vendedor;14600,00
2786;Lopez;Alberto;San Isidro;Administració;Vendedor;13500,00
2614;Mota;Elena;San Isidro;Administració;Vendedor;13500,00
2599;Perez;Sebastian;San Isidro;Administració;Vendedor;15000,00
2589;Posada;Oscar;San Isidro;Administració;Vendedor;13500,00
3917;Burgos;Julian;Lanus;Administració;Vendedor;13500,00
3172;Villegas;Marisa;Lanus;Administració;Vendedor;13500,00
3607;Fernandez;André;Lanus;Administració;Vendedor;12800,00
3728;Ramirez;Miguel;Lanus;Administració;Técnic;13500,00
3619;Carmona;Carolina;Lanus;Administració;Aux. Administrativo;13500,00
3681;De santis;Jessica;Lanus;Administració;Administrativo;56000,00
3111;Franco;Samuel;Lanus;Administració;Vendedor;27000,00
3558;Cortes;Gustavo;Lanus;Diseñ;Vendedor;23000,00
3167;Berrio;Karina;Lanus;Diseñ;Vendedor;23000,00
3712;Arias;Julieta;Avellaneda;Diseñ;Vendedor;23000,00
3502;Merizalde;Lina;Avellaneda;Diseñ;Vendedor;23000,00
3481;Restrepo;Carlos;Avellaneda;Diseñ;Vendedor;23000,00
3664;Lemus;Simó;Avellaneda;Diseñ;Vendedor;41000,00
3859;Santana;Monica;Avellaneda;Diseñ;Vendedor;38000,00
3421;Saldarriaga;Melisa;Avellaneda;Diseñ;Aux. Administrativo;13500,00
3850;Posada;Alejandra;Avellaneda;Diseñ;Administrativo;25000,00
3365;Zea ;Amalia;Quilmes;Diseñ;Administrativo;26000,00
3685;Diaz ;Raquel;Quilmes;Diseñ;Administrativo;29600,00
3390;Giraldo;Gonzalo;Quilmes;Diseñ;Aux. Administrativo;13500,00
3481;Idarraga;Santiago;Quilmes;Diseñ;Administrativo;43500,00
3195;Simanca;Isabella;Quilmes;Diseñ;Administrativo;56000,00
3250;Pulgarin;Carla;Quilmes;Diseñ;Vendedor;49000,00
3496;Aguirre;Hilda;Quilmes;Diseñ;Técnic;20000,00
3141;Tamayo;Victoria;La Plata;Diseñ;Técnic;13000,00
3663;Carmona ;Pablo;La Plata;Diseñ;Técnic;11000,00
3485;Diaz ;Pamela;La Plata;Ventas;Aux. Administrativo;13500,00
3874;Alzate;Estafania;La Plata;Ventas;Aux. Administrativo;13500,00
3800;Arango;Manuel;La Plata;Ventas;Administrativo;56000,00
3752;Uribe;Leonardo;La Plata;Ventas;Vendedor;24000,00
3082;Ospina;Juliana;La Plata;Ventas;Vendedor;32000,00
3186;Peláe;Diana;La Plata;Ventas;Vendedor;32000,00
3300;Perez;Elisa;MDQ1;Ventas;Vendedor;32000,00
3363;Carmona;Alicia;MDQ1;Ventas;Vendedor;32000,00
3099;Cifuentes;Carlos;MDQ1;Ventas;Vendedor;48000,00
3303;Jaramillo;Mauricio;MDQ1;Ventas;Vendedor;32000,00
3339;Melano;Adriana;MDQ1;Ventas;Vendedor;40000,00
3849;Mendez;Miguel;MDQ1;Ventas;Técnic;17000,00
3766;Ramirez;Natalia;MDQ1;Ventas;Vendedor;35000,00
3576;Girando;Camila;MDQ2;Ventas;Vendedor;36000,00
3430;Diez;Susana;MDQ2;Ventas;Administrativo;23000,00
3071;Sierra;Cathy;MDQ2;Ventas;Aux. Administrativo;13900,00
3842;Vallejo;Catalina;MDQ2;Ventas;Administrativo;57000,00
3979;Guerrero;Mariana;MDQ2;Ventas;Técnic;19000,00
3622;Guerra;Jacobo;MDQ2;Ventas;Técnic;13500,00
3643;Rodríguez;Gabriel;MDQ2;Ventas;Vendedor;49000,00
3876;Marulanda;Sandra;Rosario1;Ventas;Vendedor;29400,00
3504;Palacio;Evelyn;Rosario1;Administració;Vendedor;13500,00
3708;Bermudez;Juan;Rosario1;Administració;Aux. Administrativo;13500,00
3700;Toledo;David;Rosario1;Administració;Administrativo;56000,00
3810;Diez;Santiago;Rosario1;Administració;Aux. Técnic;9800,00
3166;Sierra;Luis;Rosario1;Administració;Vendedor;29000,00
3412;Vallejo;Jos�;Rosario1;Administració;Vendedor;46000,00
3346;Guerrero;Tomas;Rosario1;Administració;Vendedor;56000,00
3119;Guerra;Felipe;Rosario1;Ventas;Aux. Administrativo;13500,00
3537;Rodríguez;Patricia;Rosario1;Ventas;Vendedor;13500,00
3603;Marulanda;Luisa;Rosario1;Ventas;Vendedor;19800,00
3054;Palacio;Sara;Rosario1;Ventas;Vendedor;21000,00
3751;Bermudez;Alejandra;Rosario2;Ventas;Vendedor;26000,00
3855;Toledo;Lisa;Rosario2;Ventas;Vendedor;31000,00
3743;Arango;Ana Maria;Rosario2;Ventas;Administrativo;56000,00
3919;Acevedo;Sofia;Rosario2;Ventas;Vendedor;38000,00
3144;Cock;Paula;Rosario2;Ventas;Aux. Administrativo;13500,00
3595;Casadiegos;Jesus;Rosario2;Derecho;Vendedor;32000,00
3816;Salamanca;Herná;Rosario2;Derecho;Vendedor;47000,00
3433;Arango;Carmen;Rosario2;Derecho;Vendedor;32000,00
3603;Granda;Daniel;Rosario2;Derecho;Vendedor ;41000,00
3047;Arango ;Alberto;Rosario2;Derecho;Vendedor ;32000,00
3478;Arroyave;Elena;Córdoba Centr;Derecho;Vendedor ;39000,00
3905;Lemos;Sebastian;Córdoba Centr;Derecho;Administrativo;32000,00
3287;Jaramillo;Oscar;Córdoba Centr;Derecho;Vendedor;32000,00
3916;Lema;Julian;Córdoba Centr;Derecho;Vendedor;32000,00
3622;Caro;Marisa;Córdoba Centr;Publicidad;Vendedor;32000,00
3950;Vergara;André;Córdoba Centr;Publicidad;Vendedor ;37000,00
3599;Duque;Miguel;Córdoba Centr;Publicidad;Vendedor ;36000,00
3875;Muño;Carolina;Córdoba Centr;Publicidad;Administrativo;42000,00
3110;Peláe;Jessica;Córdoba Centr;Publicidad;Vendedor ;36000,00
3728;Sanchez;Samuel;Córdoba Centr;Publicidad;Vendedor ;37000,00
3455;Cano;Gustavo;Cordoba Quiroz;Publicidad;Vendedor ;34000,00
3144;Marquez;Karina;Cordoba Quiroz;Administració;Administrativo;32000,00
3032;Rico;Julieta;Cordoba Quiroz;Administració;Vendedor;32000,00
3193;Mendez;Lina;Cordoba Quiroz;Administració;Vendedor;45000,00
3812;Jimenez;Carlos;Cordoba Quiroz;Administració;Vendedor;32000,00
3118;Osorio;Simó;Cordoba Quiroz;Administració;Vendedor;32000,00
3975;Villamizar;Monica;Cordoba Quiroz;Administració;Aux. Administrativo;15000,00
3886;Gomez;Melisa;Cordoba Quiroz;Administració;Vendedor;32000,00
3714;Grací;Alejandra;Cordoba Quiroz;Diseñ;Administrativo;42000,00
3822;Castro;Amalia;Cordoba Quiroz;Diseñ;Vendedor;32000,00
3875;Uribe;Raquel;Cordoba Quiroz;Diseñ;Vendedor;32000,00
3230;Florez;Gonzalo;Cordoba Quiroz;Diseñ;Vendedor;32000,00
3671;Gutierrez;Santiago;Cordoba Quiroz;Diseñ;Aux. Administrativo;15000,00
3929;Medina;Isabella;Cerro de las Rosas;Diseñ;Vendedor;32000,00
3175;Betancur;Carla;Cerro de las Rosas;Comunicació;Administrativo;56000,00
3562;Betancurt;Hilda;Cerro de las Rosas;Comunicació;Vendedor;42000,00
3504;Marquez;Victoria;Cerro de las Rosas;Comunicació;Vendedor;56000,00
3796;Molina;Pablo;Cerro de las Rosas;Comunicació;Vendedor;65000,00
3588;Rodriguez;Pamela;Cerro de las Rosas;Comunicació;Vendedor;32000,00
3667;Hincapie;Estafania;Cerro de las Rosas;Ventas;Aux. Administrativo;13500,00
3578;Rojas ;Manuel;Mendoza 1;Ventas;Aux. Administrativo;12000,00
3076;Serna;Barbara;Mendoza 1;Ventas;Aux. Administrativo;16000,00
3877;Zapata;Leonardo;Mendoza 1;Ventas;Administrativo;41000,00
3022;Toro;Juliana;Mendoza 1;Ventas;Vendedor;32000,00
3875;Henao;Dinora;Mendoza 1;Ventas;Vendedor;32000,00
3371;Vasquez;Elisa;Mendoza 1;Ventas;Vendedor;32000,00
3836;Castrilló;Alicia;Mendoza 1;Ventas;Vendedor;32000,00
3561;Lopez;Carlos;Mendoza 1;Ventas;Técnic;28000,00
3212;Mota;Mauricio;Mendoza 1;Administració;Administrativo;25600,00
3773;Perez;Adriana;Mendoza 2;Administració;Administrativo;24000,00
3864;Posada;Miguel;Mendoza 2;Administració;Aux. Administrativo;13500,00
3346;Arango;Natalia;Mendoza 2;Administració;Vendedor;14600,00
3600;Hoyos;Camila;Mendoza 2;Administració;Vendedor;13500,00
3429;Suarez;Susana;Mendoza 2;Administració;Vendedor;13500,00
3734;Aristizabal;Catalina;Mendoza 2;Administració;Vendedor;15000,00
3249;Dominguez ;Catalina;Mendoza 2;Administració;Vendedor;13500,00
3613;Ruiz;Mariana;Bariloche;Administració;Vendedor;13500,00
3043;Higuita;Jacobo;Bariloche;Administració;Vendedor;13500,00
3205;Osorio;Gabriel;Bariloche;Administració;Vendedor;12800,00
3545;Gomez;Sandra;Bariloche;Administració;Técnic;13500,00
3842;Bustos;Evelyn;Bariloche;Administració;Aux. Administrativo;13500,00
3032;Rodas;Juan;Bariloche;Administració;Administrativo;56000,00
